State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15,Action_Check,Action_Call,Action_Fold,Action_Raise Small,Action_Bet Big,Action_Bet Small
2,0,0,1,1,0,0,1,0,2,1,0,0,0,0,5,123.03638178810216,283.54453268126883,-16.847264168920617,86.81121489234428,-1.2044376149359382,50.4144557229666
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,2423.3428393025765,2573.56528794301,1981.9084445705378,2222.109482868072,2068.6155822220603,2091.0690110902437
1,0,1,0,1,0,0,2,1,2,1,0,0,0,0,5,24.736210220364057,110.04127717977796,-17.44754705456669,-9.25401380692679,-11.912458662241914,-4.208563549795718
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,2932.988788202322,3065.965795143778,2698.5155301820587,2807.3853181433415,2749.855654920734,2807.6190488528405
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,2789.9552100800925,2942.048980279015,2493.762658480673,2641.5303123506174,2557.486685126971,2604.427059688858
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,4,117.36604540972684,272.33315187665085,-26.810453583180045,8.382112907827281,-2.939180293022227,5.115859744035128
1,0,0,1,2,0,0,1,0,1,1,1,0,0,0,4,0.7342750000000001,9.99475,-2.715475,-1.99525,-0.75,-0.81
2,0,0,1,1,0,0,2,1,1,1,0,0,0,0,5,128.7123330694467,291.72789028078523,-15.650295602963835,83.10686419888185,-4.406966098972691,56.45202532541991
2,0,0,1,2,0,0,2,1,1,1,0,0,0,0,5,44.84903316948541,148.59454940068915,-11.025564130388538,26.93920807360053,-10.732900189668346,24.740236175296786
2,0,0,1,3,0,0,2,2,1,1,0,0,0,0,5,2.1226739815624995,20.295237481562502,-3.8054875000000004,2.6535375,-2.5061389375000003,2.2890331003125004
1,0,0,1,1,1,0,2,2,2,1,0,0,0,0,5,4.45367015625,38.46320299375001,-4.62243390059375,-5.096430625,-5.35597375,-3.38049875
1,0,0,0,1,0,0,2,1,1,1,0,0,0,0,5,558.4210466451188,742.8011071619226,120.38354293186222,246.08372703728855,128.26021411356788,192.13508003675432
2,0,0,1,2,0,0,2,1,2,1,0,0,0,0,5,43.676420709797064,140.87283889596532,-15.102736649902532,27.3586478822864,-10.778004755860607,21.68169582054967
2,0,0,1,3,1,0,2,1,2,2,0,0,0,0,5,7.975521582248438,34.01661763940735,-4.3283280118750005,4.388922125000001,2.1990250000000002,3.414077375
1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,5,406.22081212208496,620.0734594454973,53.24135424647964,181.13841088133475,78.28068080925783,92.37310976678286
1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,5,1497.4800632074184,1673.441030507942,862.3322457517953,1168.6043779935608,900.3090355306675,941.4441413073927
1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,5,281.1054573459284,465.7009996062361,13.162709556952803,75.31754316163752,31.419300317731413,58.668408003767894
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,685.3379626117359,732.9079720554053,410.7952426170483,294.34542461440446,409.5662821070843,464.6096428457369
1,0,0,1,1,0,0,2,1,0,0,1,0,0,0,2,1.5201193818750003,4.4912749937499985,-12.30761488125,-0.9197487500000001,-8.065346006250001,-3.344312230625
1,0,0,1,2,1,0,2,1,1,1,1,0,0,2,2,0.18,-0.6799999999999999,0.0,-0.68,0.0,0.0
1,0,0,1,3,1,0,2,2,1,1,1,1,0,2,1,-1.9000000000000001,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1997.705016695538,2132.109097054513,1770.8046634324114,7.312994306153678,1687.136335562496,1743.4265603121733
