Win Bucket,Suited,Connectedness,High Card,Flop Status,Paired Board,Connected Board,Board High Card,Count High Cards,Rank of Pair,Number of Paired Cards,Flush,Straight,Full House,Pot Size,Player Bankroll,Action,Reward,Next Win Bucket,Next Suited,Next Connectedness,Next High Card,Next Flop Status,Next Paired Board,Next Connected Board,Next Board High Card,Next Count High Cards,Next Rank of Pair,Next Number of Paired Cards,Next Flush,Next Straight,Next Full House,Next Pot Size,Next Player Bankroll,Next Opponent Bankroll
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,Bet Big,-7.5,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,4
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,Call,10.0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,4
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,Call,-2.5,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,4
1,0,0,1,1,0,0,2,1,1,1,0,0,0,2,5,Bet Small,-5.0,1,0,0,1,1,0,0,2,1,1,1,0,0,0,2,5,3
1,0,0,1,2,0,0,2,1,1,1,0,0,0,4,4,Fold,-14.0,1,0,0,1,2,0,0,2,1,1,1,0,0,0,4,4,2
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,6
1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,4,Bet Small,-5.0,1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,4,6
1,0,0,0,2,0,0,2,1,2,1,0,0,0,2,3,Bet Big,-7.5,1,0,0,0,2,0,0,2,1,2,1,0,0,0,2,3,5
1,0,0,0,3,0,0,2,2,2,1,0,0,0,4,2,Bet Small,-7.6,1,0,0,0,3,0,0,2,2,2,1,0,0,0,4,2,4
1,0,0,0,3,0,0,2,2,2,1,0,0,0,4,2,Bet Small,15.2,1,0,0,0,3,0,0,2,2,2,1,0,0,0,4,2,4
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,4
1,0,0,0,1,0,0,2,2,2,1,0,0,0,0,6,Check,0.5,1,0,0,0,1,0,0,2,2,2,1,0,0,0,0,6,4
1,0,0,0,2,0,0,2,2,2,1,0,0,0,1,6,Call,10.0,1,0,0,0,2,0,0,2,2,2,1,0,0,0,1,6,3
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Check,0.5,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
1,0,0,1,1,0,0,2,2,2,1,0,0,0,2,6,Call,10.0,1,0,0,1,1,0,0,2,2,2,1,0,0,0,2,6,2
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,Call,10.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,2
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,Call,10.0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,2
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,Call,10.0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,2
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,2
1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,8,Call,-2.5,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,8,2
1,0,0,0,2,0,0,2,2,0,0,0,0,0,1,7,Fold,-10.0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,1,7,2
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
1,0,0,0,1,0,0,1,0,2,2,0,0,0,0,7,Fold,-10.0,1,0,0,0,1,0,0,1,0,2,2,0,0,0,0,7,2
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Check,1.5,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,0,0,1,1,0,0,2,1,2,1,0,0,0,0,7,Check,1.5,2,0,0,1,1,0,0,2,1,2,1,0,0,0,0,7,3
2,0,0,1,2,0,0,2,1,2,1,0,0,0,0,7,Fold,-10.0,2,0,0,1,2,0,0,2,1,2,1,0,0,0,0,7,3
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Bet Big,-7.5,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Call,10.0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Call,10.0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Call,5.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,7,Check,1.5,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,7,2
2,0,0,1,2,0,0,2,1,2,1,0,0,0,1,7,Bet Big,-7.5,2,0,0,1,2,0,0,2,1,2,1,0,0,0,1,7,2
2,0,0,1,2,0,0,2,1,2,1,0,0,0,1,7,Call,10.0,2,0,0,1,2,0,0,2,1,2,1,0,0,0,1,7,2
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,Call,-2.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,2
1,0,0,0,1,1,0,2,1,1,1,0,0,0,2,7,Check,0.5,1,0,0,0,1,1,0,2,1,1,1,0,0,0,2,7,1
1,0,0,0,2,1,0,2,1,1,1,0,0,0,2,7,Bet Small,-5.0,1,0,0,0,2,1,0,2,1,1,1,0,0,0,2,7,1
1,0,0,0,2,1,0,2,1,1,1,0,0,0,2,7,Call,10.0,1,0,0,0,2,1,0,2,1,1,1,0,0,0,2,7,1
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Call,10.0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
