Hole cards,Wins,Losses,Splits,Win prob,Loss prob,Split prob
[2♦] [7♠],31972,62249,5779,0.3342636363636364,0.6094909090909091,0.05624545454545454
[2♦] [8♣],34288,60223,5489,0.3553181818181818,0.5910727272727273,0.05360909090909091
[2♦] [8♦],37537,57209,5254,0.38485454545454545,0.5636727272727273,0.051472727272727274
[2♦] [8♥],34065,60430,5505,0.3532909090909091,0.5929545454545454,0.05375454545454546
[2♦] [8♠],34155,60376,5469,0.35410909090909093,0.5924636363636364,0.053427272727272726
[2♦] [9♣],36556,58224,5220,0.3759363636363636,0.5729,0.05116363636363636
[2♦] [9♦],40275,54867,4858,0.4097454545454545,0.5423818181818182,0.047872727272727275
[2♦] [9♥],36563,58210,5227,0.376,0.5727727272727273,0.051227272727272725
[2♦] [9♠],36727,58157,5116,0.3774909090909091,0.5722909090909091,0.05021818181818182
[2♦] [T♣],39090,56009,4901,0.39897272727272726,0.5527636363636363,0.04826363636363636
[2♦] [T♦],42523,52937,4540,0.43018181818181817,0.5248363636363637,0.04498181818181818
[2♦] [T♥],39440,55770,4790,0.40215454545454543,0.5505909090909091,0.04725454545454545
[2♦] [T♠],39145,55971,4884,0.39947272727272726,0.5524181818181818,0.04810909090909091
[2♦] [J♣],41628,53769,4603,0.42204545454545456,0.5324,0.04555454545454545
[2♦] [J♦],45298,50309,4393,0.45540909090909093,0.5009454545454546,0.04364545454545454
[2♦] [J♥],42182,53199,4619,0.4270818181818182,0.5272181818181818,0.0457
[2♦] [J♠],42229,53222,4549,0.4275090909090909,0.5274272727272727,0.04506363636363636
[2♦] [Q♣],45381,50182,4437,0.4561636363636364,0.49979090909090906,0.04404545454545455
[2♦] [Q♦],47861,47984,4155,0.4787090909090909,0.4798090909090909,0.04148181818181818
[2♦] [Q♥],45147,50572,4281,0.4540363636363636,0.5033363636363636,0.04262727272727273
[2♦] [Q♠],45046,50520,4434,0.4531181818181818,0.5028636363636364,0.04401818181818182
[2♦] [K♣],48344,47491,4165,0.4831,0.4753272727272727,0.041572727272727275
[2♦] [K♦],51295,44710,3995,0.5099272727272727,0.4500454545454545,0.040027272727272724
[2♦] [K♥],48229,47568,4203,0.48205454545454546,0.47602727272727274,0.04191818181818182
[2♦] [K♠],48535,47265,4200,0.4848363636363636,0.4732727272727273,0.04189090909090909
[2♦] [A♣],53043,42906,4051,0.5258181818181819,0.43364545454545456,0.040536363636363634
[2♦] [A♦],55603,40732,3665,0.5490909090909091,0.4138818181818182,0.03702727272727273
[2♦] [A♥],53091,42873,4036,0.5262545454545454,0.43334545454545453,0.0404
[2♦] [A♠],53207,42966,3827,0.527309090909091,0.43419090909090907,0.0385
[2♥] [2♠],49216,48811,1973,0.4910272727272727,0.4873272727272727,0.021645454545454544
[2♥] [3♣],29393,64500,6107,0.3108181818181818,0.6299545454545454,0.059227272727272726
[2♥] [3♦],29231,64519,6250,0.30934545454545453,0.6301272727272728,0.06052727272727273
[2♥] [3♥],33190,60926,5884,0.34533636363636366,0.5974636363636364,0.0572
[2♥] [3♠],29439,64405,6156,0.31123636363636364,0.6290909090909091,0.05967272727272727
[2♥] [4♣],29851,63954,6195,0.3149818181818182,0.624990909090909,0.06002727272727273
[2♥] [4♦],29729,64129,6142,0.31387272727272725,0.6265818181818181,0.05954545454545455
[2♥] [4♥],33908,60239,5853,0.3518636363636364,0.5912181818181819,0.05691818181818182
[2♥] [4♠],30081,63672,6247,0.3170727272727273,0.6224272727272727,0.0605
[2♥] [5♣],31291,62499,6210,0.3280727272727273,0.6117636363636364,0.060163636363636364
[2♥] [5♦],30848,62928,6224,0.3240454545454545,0.6156636363636364,0.06029090909090909
[2♥] [5♥],35098,59080,5822,0.36268181818181816,0.5806818181818182,0.05663636363636364
[2♥] [5♠],31193,62624,6183,0.3271818181818182,0.6129,0.059918181818181815
[2♥] [6♣],31006,63091,5903,0.3254818181818182,0.6171454545454546,0.05737272727272727
[2♥] [6♦],30931,63063,6006,0.3248,0.616890909090909,0.05830909090909091
[2♥] [6♥],34982,59264,5754,0.36162727272727274,0.5823545454545455,0.05601818181818182
[2♥] [6♠],31121,62864,6015,0.3265272727272727,0.6150818181818182,0.05839090909090909
[2♥] [7♣],31720,62499,5781,0.33197272727272725,0.6117636363636364,0.05626363636363636
[2♥] [7♦],31640,62621,5739,0.33124545454545457,0.6128727272727272,0.055881818181818185
[2♥] [7♥],35442,59102,5456,0.3658090909090909,0.5808818181818182,0.05330909090909091
[2♥] [7♠],31528,62767,5705,0.3302272727272727,0.6142,0.055572727272727274
[2♥] [8♣],33987,60534,5479,0.35258181818181816,0.5939,0.05351818181818182
[2♥] [8♦],33966,60487,5547,0.3523909090909091,0.5934727272727273,0.054136363636363635
[2♥] [8♥],37967,56895,5138,0.38876363636363637,0.5608181818181818,0.05041818181818182
[2♥] [8♠],33843,60675,5482,0.3512727272727273,0.5951818181818181,0.05354545454545455
[2♥] [9♣],36736,58186,5078,0.3775727272727273,0.5725545454545454,0.04987272727272727
[2♥] [9♦],36720,58200,5080,0.3774272727272727,0.5726818181818182,0.04989090909090909
[2♥] [9♥],39841,55361,4798,0.4058,0.5468727272727273,0.047327272727272725
[2♥] [9♠],36206,58565,5229,0.37275454545454545,0.576,0.051245454545454545
[2♥] [T♣],39241,55914,4845,0.40034545454545456,0.5519,0.04775454545454545
[2♥] [T♦],39328,55854,4818,0.4011363636363636,0.5513545454545454,0.04750909090909091
[2♥] [T♥],42757,52719,4524,0.4323090909090909,0.5228545454545455,0.04483636363636364
[2♥] [T♠],39140,55956,4904,0.39942727272727274,0.5522818181818182,0.04829090909090909
[2♥] [J♣],42247,53144,4609,0.42767272727272726,0.5267181818181819,0.04560909090909091
[2♥] [J♦],41941,53363,4696,0.4248909090909091,0.5287090909090909,0.0464
[2♥] [J♥],45165,50370,4465,0.4542,0.5015,0.0443
